,Team_1,Score_1,Team_2,Score_2,Result_Team_1,Date,Time,Location,Team_1_Street_Address,Team_1_City,Team_1_State,Team_1_Zip,Team_2_City,Team_2_State
194,Antelope Valley,13,Lancaster,128,L,4/19,3:30p,Antelope Valley High School,44900 N Division St,Lancaster,CA,93535,Lancaster,CA
195,Antelope Valley,11,Knight,133,L,4/25,3:30p,Knight High School,44900 N Division St,Lancaster,CA,93535,Palmdale,CA
196,Belmont,8,Contreras,90,L,4/18,2:30p,Contreras High School,1575 W Second St Los,Angeles,CA,90026,Los Angeles,CA
197,Calvary Chapel,1,Calvary Chapel,0,W,2/27,3:15p,Calvary Chapel High School,3800 S Fairview Street Santa,Ana,CA,92704,Downey,CA
198,Calvary Chapel,36,Laguna Beach,132,L,3/14,3:15p,Laguna Beach High School,3800 S Fairview Street Santa,Ana,CA,92704,Laguna Beach,CA
199,Calvary Chapel,91,Estancia,58,W,3/21,3:15p,Estancia High School,3800 S Fairview Street Santa,Ana,CA,92704,Costa Mesa,CA
200,Calvary Chapel,79,Costa Mesa,81,L,3/28,3:15p,Costa Mesa High School,3800 S Fairview Street Santa,Ana,CA,92704,Costa Mesa,CA
201,Calvary Chapel,1,Saddleback,0,W,4/18,3:15p,Saddleback High School,3800 S Fairview Street Santa,Ana,CA,92704,Santa Ana,CA
202,Calvary Chapel,1,Segerstrom,2,L,4/21,8:00a,Segerstrom High School,3800 S Fairview Street Santa,Ana,CA,92704,Santa Ana,CA
203,Casa Grande,71,Rancho Cotate,94,L,3/6,3:00p,Casa Grande High School,333 Casa Grande Rd,Petaluma,CA,94954,Rohnert Park,CA
204,Casa Grande,37,Montgomery,131,L,3/13,2:00p,Montgomery High School,333 Casa Grande Rd,Petaluma,CA,94954,Santa Rosa,CA
205,Casa Grande,51,Ukiah,118,L,4/3,3:00p,Casa Grande High School,333 Casa Grande Rd,Petaluma,CA,94954,Ukiah,CA
206,Casa Grande,48,Maria Carrillo,107,L,4/12,3:00p,Casa Grande High School,333 Casa Grande Rd,Petaluma,CA,94954,Santa Rosa,CA
207,Casa Grande,93,Windsor,64,W,4/17,3:00p,Casa Grande High School,333 Casa Grande Rd,Petaluma,CA,94954,Windsor,CA
208,Contreras,45,Mendez,23,W,2/28,3:00p,Contreras High School,322 S Lucas Ave Los,Angeles,CA,90017,Los Angeles,CA
209,Contreras,32,Rancho Dominguez,15,W,3/14,3:00p,Contreras High School,322 S Lucas Ave Los,Angeles,CA,90017,Long Beach,CA
210,Contreras,16,Eagle Rock,70,L,3/21,2:30p,Contreras High School,322 S Lucas Ave Los,Angeles,CA,90017,Los Angeles,CA
211,Contreras,40,Marshall,98,L,4/4,2:30p,Marshall High School,322 S Lucas Ave Los,Angeles,CA,90017,Los Angeles,CA
212,Contreras,0,Bernstein,1,FFW,4/11,2:30p,Contreras High School,322 S Lucas Ave Los,Angeles,CA,90017,Hollywood,CA
213,Contreras,90,Belmont,8,W,4/18,2:30p,Contreras High School,322 S Lucas Ave Los,Angeles,CA,90017,Los Angeles,CA
214,Contreras,55,Hollywood,93,L,4/18,2:30p,Contreras High School,322 S Lucas Ave Los,Angeles,CA,90017,Los Angeles,CA
215,Contreras,47,Robert F. Kennedy Community,35,W,4/25,2:30p,Robert F. Kennedy Community High School,322 S Lucas Ave Los,Angeles,CA,90017,Los Angeles,CA
