,Team_1,Score_1,Team_2,Score_2,Result_Team_1,Date,Time,Location,Team_1_Street_Address,Team_1_City,Team_1_State,Team_1_Zip,Team_2_City,Team_2_State
115,Osceola,125,Celebration,172,L,9/26,4:30p,Osceola High School,420 S THACKER AVE,Kissimmee,FL,34741,Celebration,FL
116,Parker,70,ED White,51,W,9/21,4:00p,ED White High School,7301 Parker School Rd,Jacksonville,FL,32211,Jacksonville,FL
117,Pine Crest,93,Bolles,153,L,9/22,4:30p,Pine Crest High School,1501 NE 62nd St Fort,Lauderdale,FL,33334,Jacksonville,FL
118,Pine Crest,427,Westminster Academy,185,W,9/27,4:00p,Pine Crest High School,1501 NE 62nd St Fort,Lauderdale,FL,33334,Fort Lauderdale,FL
119,River Ridge,73,Sunlake,91,L,10/4,6:00p,Sunlake High School,11646 Town Center Rd New Port,Richey,FL,34654,Land O' Lakes,FL
120,St. Cloud,76,Celebration,91,L,9/21,4:30p,Celebration High School,2000 Bulldog Ln St.,Cloud,FL,34769,Celebration,FL
121,The Villages Charter,85,Crystal River,83,W,9/28,4:30p,The Villages Charter ,251 Buffalo Trl The,Villages,FL,32162,Crystal River,FL
122,Wesley Chapel,71,Sunlake,96,L,8/30,6:00p,Sunlake High School,30651 Wells Rd Wesley,Chapel,FL,33545,Land O' Lakes,FL
123,West Orange,71,Olympia,112,L,9/6,3:00p,West Orange High School,1625 Beulah Rd Winter,Garden,FL,34787,Orlando,FL
124,Westwood,119,John Carroll Catholic,20,W,8/30,4:00p,John Carroll Catholic High School,1801 Panther Ln Fort,Pierce,FL,34947,Fort Pierce,FL
125,Hamilton Heights,42,Anderson,128,L,11/21,5:30p,Anderson High School,25802 Sr 19,Arcadia,IN,46030,Anderson,IN
126,Hamilton Heights,98,Eastern,66,W,11/28,5:30p,Eastern High School,25802 Sr 19,Arcadia,IN,46030,Greentown,IN
127,Hamilton Heights,54,Tipton,120,L,11/30,5:30p,Hamilton Heights High School,25802 Sr 19,Arcadia,IN,46030,Tipton,IN
128,Hamilton Heights,60,Lewis Cass,112,L,12/7,6:00p,Hamilton Heights High School,25802 Sr 19,Arcadia,IN,46030,Walton,IN
129,Hamilton Heights,42,Western,126,L,1/9,5:30p,Western High School,25802 Sr 19,Arcadia,IN,46030,Russiaville,IN
130,Hamilton Heights,50,Northwestern,120,L,1/13,10:00a,Northwestern High School,25802 Sr 19,Arcadia,IN,46030,Kokomo,IN
